gradyr,Academic Plan,Plan Full Descr,job,role,employer,profession,industry,id
2023,U-HIST-AB,History (AB),LGBTQ+ Reporter at PolitiFact,LGBTQ+ Reporter,PolitiFact,Journalist,Media,1
2023,U-HIST-AB2,History (AB2),Legislative Correspondent at US House of Representatives,Legislative Correspondent,US House of Representatives,Legislative Staffer,Government,2
2023,U-HIST-AB,History (AB),,,,,,3
2023,U-HIST-AB2,History (AB2),Music Agent Trainee at United Talent Agency,Music Agent Trainee,United Talent Agency,Talent Agent,Entertainment,4
2023,U-HIST-AB2,History (AB2),,,,,,5
2023,U-HIST-AB,History (AB),Staff Assistant and Tour Coordinator at the U.S. Senate,Staff Assistant and Tour Coordinator,the U.S. Senate,Staff Assistant,Government,6
2023,U-HIST-AB2,History (AB2),https://ousf.duke.edu/profile/rachel-beza-juarez/ ,,,,,7
2023,U-HIST-AB,History (AB),,,,,,8
2023,U-HIST-AB,History (AB),Intern at Musket Corp. and Masters of Management Studies at Fuqua School of Business,Intern,Musket Corp. and Masters of Management Studies at Fuqua School of Business,Intern,Energy,9
2023,U-HIST-AB,History (AB),Corporate Banking Analyst at RBC Capital Markets,Corporate Banking Analyst,RBC Capital Markets,Analyst,Finance,10
2023,U-HIST-AB,History (AB),Product Management Intern at Dell Technologies and Fuqua School of Business,Product Management Intern,Dell Technologies and Fuqua School of Business,Intern,Technology,11
2023,U-HIST-AB2,History (AB2),,,,,,12
2023,U-HIST-AB,History (AB),MPhil Candidate at the University of Cambridge,MPhil Candidate,the University of Cambridge,Graduate Student,Academia,13
2023,U-HIST-AB,History (AB),,,,,,14
2023,U-HIST-AB2,History (AB2),Fulbright Scholar at the Turkish Fulbright Comission,Fulbright Scholar,the Turkish Fulbright Comission,Fulbright Scholar,Academia,15
2023,U-HIST-AB,History (AB),Consultant at City of Durham Office on Youth,Consultant,City of Durham Office on Youth,Consultant,Government,16
2023,U-HIST-AB,History (AB),,,,,,17
2023,U-HIST-AB2,History (AB2),,,,,,18
2023,U-HIST-AB,History (AB),,,,,,19
2023,U-HIST-AB,History (AB),,,,,,20
2023,U-HIST-AB2,History (AB2),Public Sector Services Analyst at Alvarez & Marsal,Public Sector Services Analyst,Alvarez & Marsal,Analyst,Finance,21
2023,U-HIST-AB2,History (AB2),Lab Chemist I at Clean Harbors,Lab Chemist I,Clean Harbors,Chemist,Environmental Sciences,22
2023,U-HIST-AB,History (AB),Immigration Paralegal at The Door - A Center of Alternatives,Immigration Paralegal,The Door - A Center of Alternatives,Paralegal,Law,23
2023,U-HIST-AB2,History (AB2),Business Analyst at McKinsey & Company,Business Analyst,McKinsey & Company,Analyst,Consulting,24
2023,U-HIST-AB2,History (AB2),Investment Banking Analyst at Jefferies,Investment Banking Analyst,Jefferies,,Finance,25
2023,U-HIST-AB,History (AB),,,,,,26
2023,U-HIST-AB2,History (AB2),,,,,,27
2023,U-HIST-AB,History (AB),Research & Strategy Specialist at PJA Marketing + Advertising,Research & Strategy Specialist,PJA Marketing + Advertising,Strategist,Marketing,28
2023,U-HIST-AB2,History (AB2),,,,,,29
2023,U-HIST-AB2,History (AB2),J.D. Candidate at the University of Virginia School of Law,J.D. Candidate,the University of Virginia School of Law,Law Student,Law,30
2023,U-HIST-AB,History (AB),,,,,,31
2023,U-HIST-AB,History (AB),Master of Environmental Management Candidate at Duke University Nicolas School of the Environment,Master of Environmental Management Candidate,Duke University Nicolas School of the Environment,Graduate Student,Environmental Sciences,32
2023,U-HIST-AB2,History (AB2),,,,,,33
2023,U-HIST-AB,History (AB),Sales Development Representative at Workday,Sales Development Representative,Workday,Sales Representative,Technology,34
2023,U-HIST-AB,History (AB),,,,,,35
2023,U-HIST-AB2,History (AB2),,,,,,36
2023,U-HIST-AB,History (AB),,,,,,37
2023,U-HIST-AB2,History (AB2),Ecommerce Account Manager at Simplehuman,Ecommerce Account Manager,Simplehuman,Account Manager,Ecommerce,38
2023,U-HIST-AB,History (AB),Health Educator at The New York Foundling,Health Educator,The New York Foundling,Health Educator,Public Health,39
2023,U-HIST-AB2,History (AB2),,,,,,40
2023,U-HIST-AB,History (AB),Quality Manager at Epic,Quality Manager,Epic,Quality Manager,Healthcare,41
2022,U-HIST-AB,History (AB),,,,,,42
2022,U-HIST-AB2,History (AB2),Management Consulting Analyst at Accenture,Management Consulting Analyst,Accenture,Analyst,Consulting,43
2022,U-HIST-AB,History (AB),J.D. Candidate at Duke Law,J.D. Candidate,Duke Law,Law Student,Law,44
2022,U-HIST-AB,History (AB),Partnership Strategy Lead at Leverage Agency,Partnership Strategy Lead,Leverage Agency,Strategist,Sports Marketing,45
2022,U-HIST-AB2,History (AB2),Litigation Support Clerk at RumbergerKirk,Litigation Support Clerk,RumbergerKirk,Legal Staff,Law,46
2022,U-HIST-AB2,History (AB2),Associate Content Editor at the American Board of Anesthesiology,Associate Content Editor,the American Board of Anesthesiology,Editor,Medical Publishing,47
2022,U-HIST-AB,History (AB),Army Officer,Army Officer,US Army,Military Officer,Military,48
2022,U-HIST-AB2,History (AB2),,,,,,49
2022,U-HIST-AB,History (AB),Executive Assistant to the President at Dear Media,Executive Assistant to the President,Dear Media,Executive Assistant,Media,50
2022,U-HIST-AB,History (AB),,,,,,51
2022,U-HIST-AB,History (AB),Teacher at Hunter Huss High School,Teacher,Hunter Huss High School,Teacher,Education,52
2022,U-HIST-AB2,History (AB2),Product Manager at Appccessibility Shox ,Product Manager,Appccessibility Shox ,Product Manager,Technology,53
2022,U-HIST-AB,History (AB),Development Coordinator at 70 Faces Media,Development Coordinator,70 Faces Media,Development Coordinator,Nonprofit Media,54
2022,U-HIST-AB2,History (AB2),Graduate Student at the University of Oxford,Graduate Student,the University of Oxford,Graduate Student,Academia,55
2022,U-HIST-AB,History (AB),,,,,,56
2022,U-HIST-AB,History (AB),,,,,,57
2022,U-HIST-AB,History (AB),,,,,,58
2022,U-HIST-AB2,History (AB2),Associate Strategist at A—B,Associate Strategist,A—B,Strategist,Advertising,59
2022,U-HIST-AB,History (AB),Professional Footballer at Maidstone United,Professional Footballer,Maidstone United,Athlete,Sports,60
2022,U-HIST-AB,History (AB),J.D. Candidate at the University of Virginia School of Law,J.D. Candidate,the University of Virginia School of Law,Law Student,Law,61
2022,U-HIST-AB2,History (AB2),J.D. Candidate at the University of Cincinnati College of Law,J.D. Candidate,the University of Cincinnati College of Law,Law Student,Law,62
2022,U-HIST-AB2,History (AB2),,,,,,63
2022,U-HIST-AB2,History (AB2),,,,,,64
2022,U-HIST-AB2,History (AB2),Analyst at ClearView Healthcare Partners,Analyst,ClearView Healthcare Partners,Analyst,Consulting,65
2022,U-HIST-AB,History (AB),J.D. Candidate Boston University School of Law ,J.D. Candidate,Boston University School of Law,Law Student,Law,66
2022,U-HIST-AB,History (AB),Ambassador & Sourcing Analyst at Girls Who VC,Ambassador & Sourcing Analyst,Girls Who VC,Analyst,Venture Capital,67
2022,U-HIST-AB2,History (AB2),,,,,,68
2022,U-HIST-AB2,History (AB2),Healthcare Equity Research Associate at Jefferies,Healthcare Equity Research Associate,Jefferies,,,69
2022,U-HIST-AB,History (AB),Seminarian at St. Michael’s Episcopal Church,Seminarian,St. Michael’s Episcopal Church,Clergy,Religion,70
2022,U-HIST-AB2,History (AB2),Legislative Aide to the United States Senate,Legislative Aide,United States Senate,Legislative Staffer,Government,71
2022,U-HIST-AB2,History (AB2),,,,,,72
2022,U-HIST-AB,History (AB),J.D. Candidate at UCLA,J.D. Candidate,UCLA,Law Student,Law,73
2022,U-HIST-AB,History (AB),History teacher at Gilman School,History teacher,Gilman School,Teacher,Education,74
2022,U-HIST-AB,History (AB),,,,,,75
2022,U-HIST-AB,History (AB),High School History Teacher at Thales Academy,High School History Teacher,Thales Academy,Teacher,Education,76
2022,U-HIST-AB,History (AB),Account Manager at Proctor & Gamble,Account Manager,Proctor & Gamble,Account Manager,Consumer Goods,77
2022,U-HIST-AB2,History (AB2),J.D. Candidate at the University of Texas School of Law,J.D. Candidate,the University of Texas School of Law,Law Student,Law,78
2022,U-HIST-AB,History (AB),Davidson Kempner Capital Management,,Davidson Kempner Capital Management,,Finance,79
2022,U-HIST-AB,History (AB),,,,,,80
2021,U-HIST-AB2,History (AB2),,,,,,81
2021,U-HIST-AB,History (AB),"Assistant Director, Regional Major Gifts at University of Chicago","Assistant Director, Regional Major Gifts",University of Chicago,Fundraising Manager,Higher Education,82
2021,U-HIST-AB,History (AB),Associate at Fidelity Investments,Associate,Fidelity Investments,Associate,Finance,83
2021,U-HIST-AB,History (AB),,,,,,84
2021,U-HIST-AB,History (AB),"Rhodes Trust Scholar, Yale Law School",,Yale Law School,,Academia,85
2021,U-HIST-AB2,History (AB2),Senior Associate Consultant at Bain & Company,Senior Associate Consultant,Bain & Company,Consultant,Consulting,86
2021,U-HIST-AB2,History (AB2),J.D. Candidate at University of Pennsylvania Carey Law School,J.D. Candidate,University of Pennsylvania Carey Law School,Law Student,Law,87
2021,U-HIST-AB,History (AB),,,,,,88
2021,U-HIST-AB2,History (AB2),"Community Development, Policy Research, and Project Administration at Catawba Regional Council of Governments","Community Development, Policy Research, and Project Administration",Catawba Regional Council of Governments,Community Development Specialist,Government,89
2021,U-HIST-AB,History (AB),Library Assistant at National Humanities Center,Library Assistant,National Humanities Center,Library Assistant,Academia,90
2021,U-HIST-AB,History (AB),Analyst at Blackstone,Analyst,Blackstone,Analyst,Finance,91
2021,U-HIST-AB,History (AB),Founder & CEO at Forbes Functions,Founder & CEO,Forbes Functions,Founder,Entrepreneur,92
2021,U-HIST-AB,History (AB),Freelance Proofreader,Freelance Proofreader,,,Publishing,93
2021,U-HIST-AB,History (AB),University of Virginia School of Law,,University of Virginia School of Law,Law Student,Law,94
2021,U-HIST-AB,History (AB),J.D. Candidate at Stanford Law School,J.D. Candidate,Stanford Law School,Law Student,Law,95
2021,U-HIST-AB,History (AB),,,,,,96
2021,U-HIST-AB,History (AB),,,,,,97
2021,U-HIST-AB,History (AB),Fordham University School of Law,,Fordham University School of Law,Law Student,Law,98
2021,U-HIST-AB,History (AB),Account Manager at UFP Industries,Account Manager,UFP Industries,Account Manager,Manufacturing,99
2021,U-HIST-AB,History (AB),Associate Intern at J Loew Property Management Inc,Associate Intern,J Loew Property Management Inc,Intern,Real Estate,100
2021,U-HIST-AB,History (AB),,,,,,101
2021,U-HIST-AB2,History (AB2),Associate at Sunstone Partners,Associate,Sunstone Partners,Associate,Private Equity,102
2021,U-HIST-AB2,History (AB2),,,,,,103
2021,U-HIST-AB,History (AB),Master in City Planning Candidate at MIT,Master in City Planning Candidate,MIT,Graduate Student,Urban Planning,104
2021,U-HIST-AB,History (AB),,,,,,105
2021,U-HIST-AB2,History (AB2),,,,,,106
2021,U-HIST-AB2,History (AB2),Associate at Boston Consulting Group (BCG),Associate,Boston Consulting Group (BCG),Associate,,107
2021,U-HIST-AB,History (AB),Executive Assistant at Mainstay Entertainment,Executive Assistant,Mainstay Entertainment,Executive Assistant,Entertainment,108
2021,U-HIST-AB2,History (AB2),J.D. Candidate at The George Washington University Law School,J.D. Candidate,The George Washington University Law School,Law Student,Law,109
2021,U-HIST-AB2,History (AB2),"Business Development Coordinator, M&A and IP at Sullivan & Cromwell LLP","Business Development Coordinator, M&A and IP",Sullivan & Cromwell LLP,,,110
2021,U-HIST-AB2,History (AB2),,,,,,111
2021,U-HIST-AB2,History (AB2),J.D. Candidate at Duke University School of Law,J.D. Candidate,Duke University School of Law,Law Student,Law,112
2021,U-HIST-AB,History (AB),MPH Candidate at Columbia University,MPH Candidate,Columbia University,Graduate Student,Public Health,113
2021,U-HIST-AB,History (AB),,,,,,114
2021,U-HIST-AB,History (AB),Starwood Capital Group,,,,,115
2021,U-HIST-AB2,History (AB2),Associate Field Engineer at Emerson Power and Water Solutions,Associate Field Engineer,Emerson Power and Water Solutions,Engineer,Engineering,116
2021,U-HIST-AB,History (AB),Program Management Analyst at World Resources Institute,Program Management Analyst,World Resources Institute,Analyst,Nonprofit,117
2021,U-HIST-AB2,History (AB2),Associate at Out Leadership,Associate,Out Leadership,Library Assistant,Diversity & Inclusion,118
2021,U-HIST-AB2,History (AB2),,,,,,119
2021,U-HIST-AB2,History (AB2),Loyalty Fund Scholar at UNC School of Medicine,Loyalty Fund Scholar,UNC School of Medicine,Medical Student,Medicine,120
2021,U-HIST-AB2,History (AB2),PhD candidate at Stanford University,PhD candidate,Stanford University,Graduate Student,Academia,121
2020,U-HIST-AB2,History (AB2),Senior Writer at New Deal Strategies,Senior Writer,New Deal Strategies,Writer,Political Communications,122
2020,U-HIST-AB,History (AB),Business Development at Acta Solutions,Business Development,Acta Solutions,Business Development,Civic Tech,123
2020,U-HIST-AB,History (AB),,,,,,124
2020,U-HIST-AB2,History (AB2),Administrative Assistant at PTS Marketing & Paralegal Studies Student,Administrative Assistant,PTS Marketing & Paralegal Studies Student,Administrative Assistant,Marketing,125
2020,U-HIST-AB2,History (AB2),Software Engineer at Smartsheet,Software Engineer,Smartsheet,Software Engineer,Technology,126
2020,U-HIST-AB2,History (AB2),Research Associate at Cornerstone Research,Research Associate,Cornerstone Research,Research Associate,Consulting,127
2020,U-HIST-AB2,History (AB2),Marketing at Sourcepoint,Marketing,Sourcepoint,Marketer,Adtech,128
2020,U-HIST-AB,History (AB),Health Policy Analyst at Abt Associates,Health Policy Analyst,Abt Associates,Health Policy Analyst,Public Health,129
2020,U-HIST-AB2,History (AB2),J.D. Candidate at Yale Law School,J.D. Candidate,Yale Law School,Law Student,Law,130
2020,U-HIST-AB,History (AB),Compliance at D1 Capital Partners L.P.,Compliance,D1 Capital Partners L.P.,Compliance Analyst,Finance,131
2020,U-HIST-AB,History (AB),J.D. Candidate at Fordham University School of Law,J.D. Candidate,Fordham University School of Law,Law Student,Law,132
2020,U-HIST-AB,History (AB),Chef de partie at FRENCHIE,Chef de partie,FRENCHIE,Chef,Hospitality,133
2020,U-HIST-AB,History (AB),J.D. Candidate at Harvard Law School,J.D. Candidate,Harvard Law School,Law Student,Law,134
2020,U-HIST-AB2,History (AB2),,,,,,135
2020,U-HIST-AB,History (AB),,,,,,136
2020,U-HIST-AB,History (AB),J.D. Candidate at NYU School of Law,J.D. Candidate,NYU School of Law,Law Student,Law,137
2020,U-HIST-AB2,History (AB2),Growth Equity Associate at Brighton Park Capital,Growth Equity Associate,Brighton Park Capital,Associate,Finance,138
2020,U-HIST-AB,History (AB),"Digital Humanities Consultant & Assistant Editor at University of Maryland, College Park",Digital Humanities Consultant & Assistant Editor,"University of Maryland, College Park",Digital Humanities Consultant,Academia,139
2020,U-HIST-AB,History (AB),,,,,,140
2020,U-HIST-AB2,History (AB2),J.D. Candidate at George Washington Law School,J.D. Candidate,George Washington Law School,Law Student,Law,141
2020,U-HIST-AB,History (AB),Professional Baseball Player,Professional Baseball Player,,Athlete,Sports,142
2020,U-HIST-AB,History (AB),Management Assistant at Enterprise,Management Assistant,Enterprise,Management Assistant,Transportation,143
2020,U-HIST-AB,History (AB),Land Acquisition Specialist at Sunrise Energy Ventures LLC ,Land Acquisition Specialist,Sunrise Energy Ventures LLC ,Land Acquistion Specialist,Renewable Energy,144
2020,U-HIST-AB2,History (AB2),Product Strategy Associate at BlackRock,Product Strategy Associate,BlackRock,Associate,Finance,145
2020,U-HIST-AB2,History (AB2),Doctoral Student at University of Illinois Urbana-Champaign,Doctoral Student,University of Illinois Urbana-Champaign,Graduate Student,Academia,146
2020,U-HIST-AB,History (AB),,,,,,147
2020,U-HIST-AB2,History (AB2),Duke School of Medicine,,Duke School of Medicine,Medical Student,Medicine,148
2020,U-HIST-AB,History (AB),,,,,,149
2020,U-HIST-AB,History (AB),Associate Project Manager at Entrée Health,Associate Project Manager,Entrée Health,Project Manager,Healthcare Marketing,150
2020,U-HIST-AB2,History (AB2),Commercial Strategy at Plenty,Commercial Strategy,Plenty,Strategiest,Agriculture Technology,151
2020,U-HIST-AB,History (AB),Co-Founder at Jets for Vets Inc.,Co-Founder,Jets for Vets Inc.,Founder,Nonprofit,152
2020,U-HIST-AB2,History (AB2),,,,,,153
2020,U-HIST-AB,History (AB),Analyst at Brownstone Investment Group,Analyst,Brownstone Investment Group,Analyst,Finance,154
2020,U-HIST-AB2,History (AB2),Law Clerk at Davis Polk & Wardwell LLP,Law Clerk,Davis Polk & Wardwell LLP,Law Clerk,Law,155
2020,U-HIST-AB,History (AB),PhD candidate at Yale,PhD candidate,Yale,Graduate Student,Academia,156
2020,U-HIST-AB,History (AB),Campaigns Manager at Common Cause North Carolina,Campaigns Manager,Common Cause North Carolina,Campaigns Manager,Nonprofit,157
2020,U-HIST-AB,History (AB),J.D. Candidate at Columbia Law School,J.D. Candidate,Columbia Law School,Law Student,Law,158
2020,U-HIST-AB2,History (AB2),,,,,,159
2020,U-HIST-AB,History (AB),Founder at Kanjo,Founder,Kanjo,Founder,Technology,160
2020,U-HIST-AB,History (AB),J.D. Candidate at the University of Miami School of Law,J.D. Candidate,the University of Miami School of Law,Law Student,Law,161
2020,U-HIST-AB,History (AB),Professional Athlete at Toronto Blue Jays,Professional Athlete,Toronto Blue Jays,Athlete,Sports,162
2020,U-HIST-AB,History (AB),Professional Footballer for Caldiero Terme & Contributor at Forbes,Professional Footballer for Caldiero Terme & Contributor,Forbes,Athlete,Sports,163
2020,U-HIST-AB2,History (AB2),Education Mentor at Green River Preserve,Education Mentor,Green River Preserve,Mentor,Education,164
2020,U-HIST-AB,History (AB),Associate Product Manager at Raft,Associate Product Manager,Raft,Project Manager,Technology,165
2020,U-HIST-AB2,History (AB2),J.D. Candidate at University of North Carolina School of Law,J.D. Candidate,University of North Carolina School of Law,Law Student,Law,166
2020,U-HIST-AB,History (AB),Account Executive at Verkada,Account Executive,Verkada,Account Executive,Technology,167
2020,U-HIST-AB,History (AB),Supply Chain Operations Associate at Flexport,Supply Chain Operations Associate,Flexport,Supply Chain Associate,Logistics,168
2020,U-HIST-AB,History (AB),Fixed Income Analyst at Oppenheimer & Co. Inc. ,Fixed Income Analyst,Oppenheimer & Co. Inc. ,Analyst,Finance,169
2020,U-HIST-AB,History (AB),Account Executive at Jarvis Communications,Account Executive,Jarvis Communications,Account Executive,Public Relations,170
2020,U-HIST-AB2,History (AB2),Software Investor at K1 Investment Management,Software Investor,K1 Investment Management,Software Investor,Finance,171
2020,U-HIST-AB,History (AB),,,,,,172
2020,U-HIST-AB2,History (AB2),Law Studies Teacher at Orange County Public Schools,Law Studies Teacher,Orange County Public Schools,Teacher,Education,173
2020,U-HIST-AB,History (AB),,,,,,174
2020,U-HIST-AB2,History (AB2),Analyst,Analyst,,Analyst,,175
2020,U-HIST-AB,History (AB),Social Media Coordinator at the Asian American Federation,Social Media Coordinator,the Asian American Federation,Social Media Coordinator,Nonprofit,176
2020,U-HIST-AB,History (AB),Mentor Teacher at Bold Charter Schools,Mentor Teacher,Bold Charter Schools,Mentor Teacher,Education,177
2019,U-HIST-AB,History (AB),Corporate Associate at Kirkland & Ellis,Corporate Associate,Kirkland & Ellis,Attorney,Law,178
2019,U-HIST-AB,History (AB),Private Equity Associate at BlackRock,Private Equity Associate,BlackRock,Associate,Finance,179
2019,U-HIST-AB,History (AB),J.D. Candidate at New York University School of Law,J.D. Candidate,New York University School of Law,Law Student,Law,180
2019,U-HIST-AB,History (AB),Founder at Carrozza Growth,Founder,Carrozza Growth,Founder,Consulting,181
2019,U-HIST-AB2,History (AB2),"Manager, CX Insights & Analytics at KFC","Manager, CX Insights & Analytics",KFC,Manager,Hospitality,182
2019,U-HIST-AB,History (AB),Graduated with Masters from UC Davis & Freelance Writer,Freelance Writer,,Writer,Media,183
2019,U-HIST-AB,History (AB),Associate at Genstar Capital,Associate,Genstar Capital,Associate,Finance,184
2019,U-HIST-AB2,History (AB2),Contracting and licensing specialist at Brokers Clearing House,Contracting and licensing specialist,Brokers Clearing House,Specialist,Insurance,185
2019,U-HIST-AB,History (AB),Business Development at Prove,Business Development,Prove,Business Development,Technology,186
2019,U-HIST-AB2,History (AB2),Software Architect at SMT (SportsMEDIA Technology Corp),Software Architect,SMT (SportsMEDIA Technology Corp),Software Architect,Technology,187
2019,U-HIST-AB,History (AB),,,,,,188
2019,U-HIST-AB,History (AB),Financial Product Analyst at Bloomberg L.P.,Financial Product Analyst,Bloomberg L.P.,Analyst,Finance,189
2019,U-HIST-AB2,History (AB2),Senior Account Executive at GMMB,Senior Account Executive,GMMB,Account Executive,Communications,190
2019,U-HIST-AB,History (AB),History Ph.D. Candidate at William & Mary,History Ph.D. Candidate,William & Mary,Graduate Student,Academia,191
2019,U-HIST-AB2,History (AB2),Strategy and Finance Analyst at Penn Interactive,Strategy and Finance Analyst,Penn Interactive,Analyst,Finance,192
2019,U-HIST-AB2,History (AB2),"Government Affairs Specialist at INDA, Association of the Nonwoven Fabrics Industry",Government Affairs Specialist,"INDA, Association of the Nonwoven Fabrics Industry",Government Affairs Specialist,Trade Association,193
2019,U-HIST-AB2,History (AB2),Associate Director of Strategy at LGND,Associate Director of Strategy,LGND,Strategist,Communications,194
2019,U-HIST-AB,History (AB),J.D. Candidate at Columbia Law School,J.D. Candidate,Columbia Law School,Law Student,Law,195
2019,U-HIST-AB,History (AB),,,,,,196
